      14:30 - 15:30: '0'
      15:30 - 16:30: '0'
      16:30 - 17:30: '0'
      17:30 - 18:30: '0'
      18:30 - 19:30: '0'
      19:30 - 20:30: '0'
      20:30 - 21:30: '0'
    Sunday:
      6:30 - 7:30: '0'
      7:30 - 8:30: '0'
      8:30 - 9:30: '0'
      9:30 - 10:30: '1'
      10:30 - 11:30: '0'
      11:30 - 12:30: '0'
      12:30 - 13:30: '0'
      13:30 - 14:30: '0'
      14:30 - 15:30: '0'
      15:30 - 16:30: '0'
      16:30 - 17:30: '0'
      17:30 - 18:30: '0'
      18:30 - 19:30: '0'
      19:30 - 20:30: '0'
      20:30 - 21:30: '0'
- *1
:conflict_matrix:
  Monday:
    6:30 - 7:30: '0'
    7:30 - 8:30: '0'
    8:30 - 9:30: '0'
    9:30 - 10:30: '0'
    10:30 - 11:30: John Sebastian
    11:30 - 12:30: John Sebastian
    12:30 - 13:30: 0 Sebastian
    13:30 - 14:30: '0'
    14:30 - 15:30: John
    15:30 - 16:30: '0'
    16:30 - 17:30: John Sebastian
    17:30 - 18:30: '0'
    18:30 - 19:30: '0'
    19:30 - 20:30: '0'
    20:30 - 21:30: '0'
  Tuesday:
    6:30 - 7:30: '0'
    7:30 - 8:30: '0'
    8:30 - 9:30: '0'
    9:30 - 10:30: '0'
    10:30 - 11:30: John Sebastian
    11:30 - 12:30: John Sebastian
    12:30 - 13:30: John Sebastian
    13:30 - 14:30: John Sebastian
    14:30 - 15:30: John
    15:30 - 16:30: John
    16:30 - 17:30: John Sebastian
    17:30 - 18:30: John Sebastian
    18:30 - 19:30: '0'
    19:30 - 20:30: '0'
    20:30 - 21:30: '0'
  Wednesday:
    6:30 - 7:30: '0'
    7:30 - 8:30: John Sebastian
    8:30 - 9:30: '0'
    9:30 - 10:30: '0'
    10:30 - 11:30: '0'
    11:30 - 12:30: John Sebastian
    12:30 - 13:30: John Sebastian
    13:30 - 14:30: John Sebastian
    14:30 - 15:30: '0'
    15:30 - 16:30: '0'
    16:30 - 17:30: John
    17:30 - 18:30: '0'
    18:30 - 19:30: '0'
    19:30 - 20:30: '0'
    20:30 - 21:30: '0'
  Thursday:
    6:30 - 7:30: '0'
    7:30 - 8:30: '0'
    8:30 - 9:30: '0'
    9:30 - 10:30: '0'
    10:30 - 11:30: John Sebastian
    11:30 - 12:30: John Sebastian
    12:30 - 13:30: '0'
    13:30 - 14:30: 0 Sebastian
    14:30 - 15:30: '0'
    15:30 - 16:30: '0'
    16:30 - 17:30: '0'
    17:30 - 18:30: '0'
    18:30 - 19:30: John
    19:30 - 20:30: John
    20:30 - 21:30: '0'
  Friday:
    6:30 - 7:30: '0'
    7:30 - 8:30: '0'
    8:30 - 9:30: '0'
    9:30 - 10:30: '0'
    10:30 - 11:30: John Sebastian
    11:30 - 12:30: John Sebastian
    12:30 - 13:30: 0 Sebastian
    13:30 - 14:30: 0 Sebastian
    14:30 - 15:30: '0'
    15:30 - 16:30: '0'
    16:30 - 17:30: '0'
    17:30 - 18:30: '0'
    18:30 - 19:30: '0'
    19:30 - 20:30: '0'
    20:30 - 21:30: '0'
  Saturday:
    6:30 - 7:30: '0'
    7:30 - 8:30: '0'
    8:30 - 9:30: '0'
    9:30 - 10:30: '0'
    10:30 - 11:30: '0'
    11:30 - 12:30: '0'
    12:30 - 13:30: '0'
    13:30 - 14:30: '0'
    14:30 - 15:30: '0'
    15:30 - 16:30: '0'
    16:30 - 17:30: '0'
    17:30 - 18:30: '0'
    18:30 - 19:30: '0'
    19:30 - 20:30: '0'
    20:30 - 21:30: '0'
  Sunday:
    6:30 - 7:30: '0'
    7:30 - 8:30: '0'
    8:30 - 9:30: '0'
    9:30 - 10:30: John Sebastian
    10:30 - 11:30: '0'
    11:30 - 12:30: '0'
    12:30 - 13:30: '0'
    13:30 - 14:30: '0'
    14:30 - 15:30: '0'
    15:30 - 16:30: '0'
    16:30 - 17:30: '0'
    17:30 - 18:30: '0'
    18:30 - 19:30: '0'
    19:30 - 20:30: '0'
    20:30 - 21:30: '0'
